N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN0RN0CN0-ECS50-COONNNN-5;5,0000000;16772,9666667;101293,1333333;33032,4333333;258,1000000;5,0000000;16324,5000000;99250,4333333;34982,1333333;407,9000000;5,0000000;15604,3333333;103528,5333333;32068,4333333;73,4666667;5,0000000;15053,7333333;101769,5333333;34140,1333333;467,2333333;5,1666667;15448,7333333;104162,8333333;30796,8666667;141,8666667;5,0000000;14782,1666667;101097,8333333;34526,2000000;396,1666667;5,0000000;18416,8000000;103363,2333333;29082,2666667;74,5000000;5,0000000;17557,7000000;101236,5666667;31698,2333333;158,4333333;5,0000000;17322,5666667;101879,2333333;31627,1666667;93,7000000;5,0000000;16452,3000000;103492,3000000;31236,6666667;57,3666667;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
S;0,0000000;12778,0057709;9662,0363947;13830,7049953;893,3883717;0,0000000;10564,7949137;9578,3699163;14647,7061020;814,8231181;0,0000000;10654,9449013;8361,7953473;11444,6679338;131,8953957;0,0000000;9410,6640351;8764,1840100;13556,8434983;1690,5863640;0,9128709;10442,5716774;6786,6727975;12565,4662406;355,0731574;0,0000000;8801,5676624;8465,4137324;12315,0292183;1046,9222243;0,0000000;8977,2889019;8619,0023612;9261,7897129;139,5067048;0,0000000;9642,4458664;9062,5953719;12526,2614498;300,7964925;0,0000000;11466,8708737;7448,4165162;14374,5208594;122,0833943;0,0000000;11879,2178750;7210,2462398;11058,2032441;79,1425965;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
V;0,0000000;157834850,4322223;90243115,7155556;184912120,6455556;771538,0233333;0,0000000;107894395,1833333;88686997,9122222;207403450,9155555;641805,4900000;0,0000000;109743589,1555556;67588967,3822222;126614409,9788889;16816,5155556;0,0000000;85608577,6622222;74250557,3155555;177661738,7822223;2762812,8455556;0,8055556;105412393,1288889;44523630,0722222;152627910,4488889;121874,3822222;0,0000000;74885340,2055556;69274455,3388889;146604613,1600000;1059511,2722222;0,0000000;77905325,4933333;71810961,6455556;82921390,3955555;18813,3833333;0,0000000;89877536,8766667;79392947,0455556;151676985,0455555;87462,5788889;0,0000000;127106156,7122222;53629611,6455556;199739288,2722222;14407,5433333;0,0000000;136411956,7433333;50254729,1433333;118207730,3555556;6054,7655556;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
Intervallo;[5,00000 , 5,00000];[12813,97767 , 20731,95567];[98299,56012 , 104286,70655];[28747,28823 , 37317,57844];[-18,69708 , 534,89708];[5,00000 , 5,00000];[13051,22657 , 19597,77343];[96282,78237 , 102218,08430];[30443,85809 , 39520,40858];[155,44466 , 660,35534];[5,00000 , 5,00000];[12303,12887 , 18905,53779];[100937,81172 , 106119,25495];[28522,55025 , 35614,31641];[32,60173 , 114,33161];[5,00000 , 5,00000];[12138,04241 , 17969,42425];[99054,14028 , 104484,92638];[29939,83829 , 38340,42837];[-56,55832 , 991,02499];[4,88383 , 5,44950];[12213,32813 , 18684,13854];[102060,12940 , 106265,53726];[26903,72845 , 34690,00488];[31,85492 , 251,87841];[5,00000 , 5,00000];[12055,19110 , 17509,14223];[98475,00780 , 103720,65887];[30710,65428 , 38341,74572];[71,80044 , 720,53290];[5,00000 , 5,00000];[15635,38100 , 21198,21900];[100692,82168 , 106033,64499];[26212,70124 , 31951,83209];[31,27686 , 117,72314];[5,00000 , 5,00000];[14570,19649 , 20545,20351];[98428,71730 , 104044,41603];[27817,24187 , 35579,22479];[65,23804 , 251,62863];[5,00000 , 5,00000];[13769,80449 , 20875,32885];[99571,50241 , 104186,96426];[27173,53196 , 36080,80137];[55,87510 , 131,52490];[5,00000 , 5,00000];[12771,78101 , 20132,81899];[101258,36099 , 105726,23901];[27810,52132 , 34662,81201];[32,84604 , 81,88729];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN10RN10CN0-ECS50-COONNNN-5;5,0000000;17236,2000000;98277,6666667;34645,2333333;483,2000000;268,2666667;15622,6333333;98794,1000000;35355,5666667;882,5666667;521,5333333;15510,5000000;99585,0000000;34372,0333333;904,0333333;777,6333333;17059,0666667;97331,8666667;33921,1666667;1173,1666667;1021,9666667;19216,2666667;99895,0666667;28284,5333333;1370,3000000;1263,7666667;16704,7666667;100069,5666667;29707,3666667;1651,5333333;1510,7000000;14057,2000000;94321,0000000;38333,8666667;2646,3333333;1756,7000000;13923,2666667;97388,3666667;34274,1000000;2201,9000000;1980,5333333;16605,3666667;92146,8000000;36549,2000000;2729,7333333;2224,8333333;14576,8666667;96237,9333333;34214,1000000;2582,2000000;2438,2666667;2437,7666667;2437,7666667;2437,7666667;2437,7666667;2437,7666667;2437,7666667;2437,7666667;2437,7666667;2437,7666667;
S;0,0000000;10275,1887218;8510,0938296;11957,3322612;290,3538151;40,5997565;11840,0287671;10062,5965400;17276,9284341;830,7943720;71,4575994;10832,7503266;7612,5216267;11743,8420885;162,2347136;78,5218983;10109,7954819;7061,2990879;11028,1539803;213,4616308;87,0277337;11286,2092134;5997,7739315;11267,8436659;158,5122969;97,6071236;7891,9830281;6987,3906663;12788,0450084;221,7363662;92,7418181;8847,6472244;9050,7922648;14039,7004874;2199,9323710;102,0037694;8147,8065503;7276,4592492;13090,7465696;340,7000248;120,6167294;11222,7497905;8604,7201938;14748,9269052;1193,8341285;126,9998869;7342,8336527;7621,7964890;9498,4439210;171,7346389;132,9399484;133,1842601;133,1842601;133,1842601;133,1842601;133,1842601;133,1842601;133,1842601;133,1842601;133,1842601;
V;0,0000000;102060186,4933333;70007640,4222222;138211868,3122222;81495,1600000;1593,3955556;135513405,1655556;97880654,1566667;288542514,2455556;667211,9788889;4935,9822222;113436863,6500000;56018802,6666667;133320566,0988889;25442,7655556;5960,1655556;98801032,5288889;48199879,9822222;117566174,2055556;44047,0055556;7321,3655556;123132567,7955556;34774182,3955556;122732157,5155556;24288,6100000;9209,5788889;60207282,9122222;47196174,0455556;158082958,6322222;47528,1155556;8314,3433333;75671499,3600000;79186279,2666667;190542750,1155556;4678379,0222222;10057,9433333;64173859,8622222;51181963,8988889;165655390,8900000;112207,2900000;14063,4488889;121751775,7655556;71573169,2933334;210279816,6933333;1377731,9288889;15591,3388889;52119965,8488889;56155388,9955556;87213089,0233333;28509,6933333;17083,9288889;17146,7788889;17146,7788889;17146,7788889;17146,7788889;17146,7788889;17146,7788889;17146,7788889;17146,7788889;17146,7788889;
Intervallo;[5,00000 , 5,00000];[14052,65479 , 20419,74521];[95640,99797 , 100914,33537];[30940,51229 , 38349,95438];[393,24014 , 573,15986];[255,68771 , 280,84562];[11954,25624 , 19291,01042];[95676,42188 , 101911,77812];[30002,68369 , 40708,44965];[625,16298 , 1139,97035];[499,39374 , 543,67293];[12154,20637 , 18866,79363];[97226,42465 , 101943,57535];[30733,45761 , 38010,60906];[853,76841 , 954,29825];[753,30502 , 801,96165];[13926,76498 , 20191,36836];[95144,07572 , 99519,65762];[30504,33144 , 37338,00190];[1107,03019 , 1239,30314];[995,00300 , 1048,93033];[15719,47860 , 22713,05473];[98036,78601 , 101753,34733];[24793,43543 , 31775,63123];[1321,18839 , 1419,41161];[1233,52521 , 1294,00812];[14259,60624 , 19149,92709];[97904,67464 , 102234,45869];[25745,26723 , 33669,46611];[1582,83311 , 1720,23356];[1481,96595 , 1539,43405];[11315,94768 , 16798,45232];[91516,80757 , 97125,19243];[33983,96882 , 42683,76451];[1964,73182 , 3327,93485];[1725,09634 , 1788,30366];[11398,84485 , 16447,68848];[95133,91299 , 99642,82035];[30218,21502 , 38329,98498];[2096,34146 , 2307,45854];[1943,16285 , 2017,90382];[13128,24013 , 20082,49320];[89480,81337 , 94812,78663];[31979,56367 , 41118,83633];[2359,84962 , 3099,61704];[2185,48516 , 2264,18150];[12301,84831 , 16851,88502];[93876,48437 , 98599,38229];[31271,21238 , 37156,98762];[2528,99173 , 2635,40827];[2397,07810 , 2479,45524];[2396,50240 , 2479,03093];[2396,50240 , 2479,03093];[2396,50240 , 2479,03093];[2396,50240 , 2479,03093];[2396,50240 , 2479,03093];[2396,50240 , 2479,03093];[2396,50240 , 2479,03093];[2396,50240 , 2479,03093];[2396,50240 , 2479,03093];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN20RN20CN0-ECS50-COONNNN-5;5,0000000;16474,5333333;100183,1000000;33087,9666667;884,3000000;528,3333333;19350,5000000;98909,0666667;30867,0000000;1276,3666667;1028,3666667;13996,6333333;97363,7666667;35652,9666667;1708,9000000;1518,2666667;16843,4000000;95901,4333333;33706,7666667;2402,6333333;1973,7000000;14578,0333333;96040,2333333;32907,9666667;2655,9666667;2420,4333333;14288,5333333;90749,3000000;38012,1666667;3753,0000000;2875,5333333;14417,0333333;90798,7000000;38217,3666667;3727,3666667;3321,8333333;16134,4000000;90253,2666667;35396,3333333;4239,2333333;3754,3333333;14023,4666667;86798,3333333;39453,8333333;5343,9333333;4190,0000000;15213,7000000;84872,6000000;39232,8666667;5517,3333333;4623,8333333;4618,4666667;4618,3000000;4618,3000000;4618,3000000;4618,3000000;4618,3000000;4618,3000000;4618,3000000;4618,3000000;
S;0,0000000;9888,5699665;9609,6520205;15176,9891987;659,0968821;67,2782864;9647,7169776;9329,1271792;11611,0464585;705,3935797;89,1633462;9776,2066492;9642,5506022;10218,4772045;279,0935265;110,1428331;9832,8128701;8864,6592392;10972,8053361;1223,5736660;130,4097389;7265,2365910;10596,2782200;11656,4608945;436,5689489;145,9484281;8249,4716559;11496,3011987;14473,7080421;2403,8998344;163,5413547;8007,2127205;8830,2244325;11531,0491268;666,0356459;158,5440401;7704,6331811;7718,5219817;9608,8261450;1041,1729686;152,7096260;7092,2695445;10241,5053424;12648,9306869;2625,6639217;185,9052410;6901,2640079;10239,2883360;12612,3487564;1377,4827700;219,3897623;219,2603135;219,2641534;219,2641534;219,2641534;219,2641534;219,2641534;219,2641534;219,2641534;219,2641534;
V;0,0000000;94524355,4488889;89267231,5566667;222662967,7655555;419928,4100000;4375,4888889;89975828,1166667;84131526,7955556;130322519,8666667;480994,0988889;7685,0988889;92388409,2322222;89879489,3788889;100936700,4988889;75296,7566667;11727,0622222;93461401,9733333;75962777,3122222;116389041,7122222;1447228,0988889;16439,8100000;51024207,2988889;108538408,3788889;131343977,8988889;184239,3655556;20590,9122222;65785323,1822222;127759443,2100000;202505283,6722223;5586109,9333333;25854,2488889;61978273,6988889;75373768,0766667;128532924,1655556;428816,6988889;24298,3388889;57382660,0400000;57589728,8622222;89251888,5555556;1047906,4455556;22542,8888889;48623611,0488889;101392150,6222222;154662265,9388889;6664307,3288889;33408,7333333;46039863,4100000;101348258,1066667;153768963,1155556;1834210,1555556;46527,4722222;46472,5822222;46474,2100000;46474,2100000;46474,2100000;46474,2100000;46474,2100000;46474,2100000;46474,2100000;46474,2100000;
Intervallo;[5,00000 , 5,00000];[13410,77359 , 19538,29308];[97205,75695 , 103160,44305];[28385,70449 , 37790,22885];[680,09307 , 1088,50693];[507,48861 , 549,17806];[16361,36335 , 22339,63665];[96018,63818 , 101799,49515];[27269,56813 , 34464,43187];[1057,81571 , 1494,91763];[1000,74133 , 1055,99200];[10967,68693 , 17025,57973];[94376,23071 , 100351,30263];[32486,99229 , 38818,94104];[1622,42890 , 1795,37110];[1484,14129 , 1552,39204];[13796,91539 , 19889,88461];[93154,91020 , 98647,95646];[30307,08002 , 37106,45331];[2023,53547 , 2781,73120];[1933,29536 , 2014,10464];[12327,05675 , 16829,00991];[92757,20548 , 99323,26119];[29296,46412 , 36519,46922];[2520,70521 , 2791,22812];[2375,21437 , 2465,65230];[11732,61278 , 16844,45388];[87187,41947 , 94311,18053];[33527,80096 , 42496,53238];[3008,20358 , 4497,79642];[2824,86358 , 2926,20309];[11936,17148 , 16897,89519];[88062,84575 , 93534,55425];[34644,72024 , 41790,01309];[3521,00991 , 3933,72342];[3272,71189 , 3370,95478];[13747,28588 , 18521,51412];[87861,84940 , 92644,68393];[32419,24617 , 38373,42050];[3916,64839 , 4561,81828];[3707,01956 , 3801,64711];[11826,08019 , 16220,85314];[83625,22419 , 89971,44248];[35534,83546 , 43372,83121];[4530,42810 , 6157,43857];[4132,40128 , 4247,59872];[13075,49246 , 17351,90754];[81700,17775 , 88045,02225];[35325,20291 , 43140,53042];[5090,55006 , 5944,11661];[4555,86016 , 4691,80651];[4550,53360 , 4686,39974];[4550,36574 , 4686,23426];[4550,36574 , 4686,23426];[4550,36574 , 4686,23426];[4550,36574 , 4686,23426];[4550,36574 , 4686,23426];[4550,36574 , 4686,23426];[4550,36574 , 4686,23426];[4550,36574 , 4686,23426];
N6000-8.4E-4I0-C61-5-QS5T500W10P100-AN5RN5CN0-ECS50-COONNNN-5;5,0000000;19450,7000000;100259,5000000;30687,4333333;334,5666667;120,7333333;17135,9333333;98187,4666667;33970,0333333;715,6000000;245,6000000;20642,6666667;97865,6000000;29744,5666667;657,3000000;378,6333333;15153,2666667;103308,2333333;30214,2666667;588,3000000;507,6666667;17389,5000000;99504,4000000;31905,0666667;843,1333333;624,7000000;17745,2000000;95978,0333333;35332,6666667;1248,5333333;759,0666667;15530,8000000;101204,9000000;32020,4333333;988,9333333;874,6666667;13549,0333333;96017,2666667;37944,8666667;1484,0333333;990,1666667;15843,8333333;96821,4000000;34046,9666667;2191,7666667;1117,8000000;14444,5666667;95981,7000000;37047,2000000;1506,0000000;1230,9666667;1230,2333333;1230,2333333;1230,2333333;1230,2333333;1230,2333333;1230,2333333;1230,2333333;1230,2333333;1230,2333333;
S;0,0000000;13436,9516816;9700,8402862;17097,5386930;454,8201375;28,9957587;11286,8003130;12707,7838914;17866,2054044;1128,0940166;33,6345471;9743,9302958;9244,4928680;13046,8674736;689,4798214;47,3289904;7806,8561509;7029,8353671;14018,8599195;110,9461348;53,7101630;9841,9107822;7682,7365123;11350,8929375;392,9574631;60,3702085;9117,8953727;9438,8547979;14389,6798204;1390,5456318;70,0629930;9556,8973302;8932,0395453;13357,8610374;248,6447311;87,1721774;8363,7816290;11776,2750885;13601,5138451;1248,8819961;91,0407576;8196,1423352;8441,6717236;12982,1858063;3458,0379496;104,2673619;8316,1987159;8738,1093005;12554,3600598;426,0068803;105,2918713;105,7259578;105,7259578;105,7259578;105,7259578;105,7259578;105,7259578;105,7259578;105,7259578;105,7259578;
V;0,0000000;174533281,4766667;90969425,5166667;282581635,0455555;199965,9788889;812,7288889;123145465,9288889;156104845,7155556;308561252,3655555;1230176,2400000;1093,5733333;91779371,6888889;82611960,1066667;164546725,8455556;459536,3433333;2165,3655556;58915436,1955556;47771299,1122222;189977485,6622223;11898,7433333;2788,6222222;93634434,2500000;57056958,9733333;124548011,4622222;149268,3822222;3523,0766667;80364815,4933333;86122247,2322222;200160789,1555556;1869163,2488889;4745,1955556;88289810,3600000;77121952,7566667;172484703,1122223;59763,3955556;7345,6888889;67621081,6988889;134057966,4622223;178834472,9155555;1507716,0322222;8012,1388889;64937524,2055556;68886427,4400000;162919243,3655556;11559425,5788889;10509,2933333;66853855,7122222;73809402,3433333;152358224,6266667;175432,4666667;10716,8322222;10805,3788889;10805,3788889;10805,3788889;10805,3788889;10805,3788889;10805,3788889;10805,3788889;10805,3788889;10805,3788889;
Intervallo;[5,00000 , 5,00000];[15287,55085 , 23613,84915];[97253,90424 , 103265,09576];[25390,13039 , 35984,73628];[193,65047 , 475,48286];[111,74962 , 129,71704];[13638,96213 , 20632,90454];[94250,23440 , 102124,69893];[28434,57562 , 39505,49105];[366,08444 , 1065,11556];[235,17906 , 256,02094];[17623,72040 , 23661,61294];[95001,39363 , 100729,80637];[25702,27668 , 33786,85665];[443,67957 , 870,92043];[363,96947 , 393,29720];[12734,48097 , 17572,05237];[101130,19074 , 105486,27593];[25870,82582 , 34557,70751];[553,92574 , 622,67426];[491,02573 , 524,30760];[14340,19659 , 20438,80341];[97124,07009 , 101884,72991];[28388,23774 , 35421,89559];[721,38395 , 964,88271];[605,99560 , 643,40440];[14920,21713 , 20570,18287];[93053,60812 , 98902,45855];[30874,33529 , 39790,99805];[817,70281 , 1679,36385];[737,35916 , 780,77417];[12569,80185 , 18491,79815];[98437,50054 , 103972,29946];[27881,78871 , 36159,07796];[911,89614 , 1065,97053];[847,65825 , 901,67508];[10957,69631 , 16140,37036];[92368,64228 , 99665,89106];[33730,73148 , 42159,00185];[1097,09423 , 1870,97244];[961,95966 , 1018,37368];[13304,43572 , 18383,23094];[94205,93041 , 99436,86959];[30024,71690 , 38069,21644];[1120,36832 , 3263,16501];[1085,49501 , 1150,10499];[11867,97218 , 17021,16115];[93274,38563 , 98689,01437];[33157,50279 , 40936,89721];[1374,01097 , 1637,98903];[1198,34426 , 1263,58908];[1197,47643 , 1262,99024];[1197,47643 , 1262,99024];[1197,47643 , 1262,99024];[1197,47643 , 1262,99024];[1197,47643 , 1262,99024];[1197,47643 , 1262,99024];[1197,47643 , 1262,99024];[1197,47643 , 1262,99024];[1197,47643 , 1262,99024];
