N6000-8.4E-4I0-C61-5-QS5T25W10P100-AN0RN0CN0-ECS50-COONNNN-5;5,0000000;16772,9666667;101101,3333333;32736,8333333;255,6000000;5,0000000;16324,5000000;99085,3333333;34700,7333333;402,3666667;5,0000000;15604,3333333;103363,0000000;31769,5333333;72,1333333;5,0000000;15053,7333333;101600,7000000;33893,4000000;457,8000000;5,1666667;15448,7333333;103989,2000000;30546,1666667;136,8000000;5,0000000;14782,1666667;100938,2333333;34304,9333333;393,6666667;5,0000000;18416,8000000;103134,6000000;28844,0333333;73,5333333;5,0000000;17557,7000000;101085,9666667;31440,0000000;157,0000000;5,0000000;17322,5666667;101674,5333333;31345,4000000;92,9333333;5,0000000;16451,9333333;103323,3333333;30942,5333333;56,3000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
S;0,0000000;12778,0057709;9668,4397355;13731,8769219;883,6273438;0,0000000;10564,7949137;9599,3284439;14554,8122909;802,9955333;0,0000000;10654,9449013;8345,1151105;11330,7663670;130,6830156;0,0000000;9410,6640351;8766,2740803;13521,0069652;1651,7681310;0,9128709;10442,5716774;6795,9442185;12485,6521299;339,0047706;0,0000000;8801,5676624;8458,9414300;12279,6041634;1040,6029861;0,0000000;8977,2889019;8649,3166188;9254,0353937;137,4420839;0,0000000;9642,4458664;9072,8586549;12478,4664371;298,0355221;0,0000000;11466,8708737;7453,9000055;14263,5500456;121,1729836;0,0000000;11879,0145270;7248,2290457;10976,2521703;77,1023279;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
V;0,0000000;157834850,4322223;90362769,3555556;182278962,3388889;754770,7066667;0,0000000;107894395,1833333;89075536,3555555;204781142,1288889;623308,4322222;0,0000000;109743589,1555556;67319581,3333333;124106724,2488888;16508,7822222;0,0000000;85608577,6622222;74285975,8766667;176723708,3733333;2637393,3600000;0,8055556;105412393,1288889;44645362,5600000;150695125,4722222;111093,4266667;0,0000000;74885340,2055556;69168567,1122222;145762389,1288889;1046759,4222222;0,0000000;77905325,4933333;72316988,7066667;82782598,6988889;18260,6488889;0,0000000;89877536,8766667;79572872,0322222;150521720,4666667;85864,3333333;0,0000000;127106156,7122222;53708604,4488889;196667231,2400000;14193,4622222;0,0000000;136407286,5955555;50785596,8222222;116462174,6488889;5746,6100000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
Intervallo;[5,00000 , 5,00000];[12813,97767 , 20731,95567];[98105,77618 , 104096,89048];[28482,30797 , 36991,35870];[-18,17284 , 529,37284];[5,00000 , 5,00000];[13051,22657 , 19597,77343];[96111,18882 , 102059,47784];[30191,23923 , 39210,22744];[153,57585 , 651,15748];[5,00000 , 5,00000];[12303,12887 , 18905,53779];[100777,44639 , 105948,55361];[28258,94019 , 35280,12647];[31,64402 , 112,62264];[5,00000 , 5,00000];[12138,04241 , 17969,42425];[98884,65939 , 104316,74061];[29704,20814 , 38082,59186];[-53,96467 , 969,56467];[4,88383 , 5,44950];[12213,32813 , 18684,13854];[101883,62352 , 106094,77648];[26677,75713 , 34414,57621];[31,76670 , 241,83330];[5,00000 , 5,00000];[12055,19110 , 17509,14223];[98317,41310 , 103559,05357];[30500,36330 , 38109,50336];[71,25832 , 716,07502];[5,00000 , 5,00000];[15635,38100 , 21198,21900];[100454,79613 , 105814,40387];[25976,87042 , 31711,19625];[30,94987 , 116,11679];[5,00000 , 5,00000];[14570,19649 , 20545,20351];[98274,93745 , 103896,99589];[27573,81679 , 35306,18321];[64,66013 , 249,33987];[5,00000 , 5,00000];[13769,80449 , 20875,32885];[99365,10347 , 103983,96320];[26926,14721 , 35764,65279];[55,39050 , 130,47616];[5,00000 , 5,00000];[12771,47735 , 20132,38932];[101077,62617 , 105569,04049];[27541,77876 , 34343,28791];[32,41151 , 80,18849];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];
N6000-8.4E-4I0-C61-5-QS5T25W10P100-AN20RN20CN0-ECS50-COONNNN-5;5,0000000;16474,5333333;100025,9000000;32839,0333333;878,7333333;526,9333333;19349,3333333;98701,4333333;30657,9000000;1272,0000000;1025,7333333;13994,0000000;97258,0333333;35462,7333333;1702,4666667;1514,3666667;16839,0000000;95744,3333333;33468,3666667;2389,3666667;1968,4000000;14572,7666667;95891,1333333;32716,9333333;2647,6666667;2413,6666667;14281,9000000;90604,2000000;37821,3000000;3737,9666667;2867,8000000;14409,3000000;90732,9000000;38035,2333333;3717,0000000;3313,2333333;16125,8333333;90169,2333333;35194,6333333;4226,3000000;3745,1000000;14014,3333333;86737,1666667;39288,9666667;5326,2000000;4179,4333333;15203,5666667;84795,8000000;39108,7666667;5502,7666667;4612,9666667;4607,7666667;4607,6000000;4607,6000000;4607,6000000;4607,6000000;4607,6000000;4607,6000000;4607,6000000;4607,6000000;
S;0,0000000;9888,5699665;9591,2932261;15115,7667890;653,0038778;67,4914724;9648,0949534;9306,1564631;11558,3791620;704,6595656;89,0090787;9775,9393693;9631,9428644;10180,1451786;276,0455651;109,6975413;9832,1752636;8850,6924581;10914,3314278;1203,7474384;130,3826200;7264,7919812;10590,7427656;11646,8696991;436,4612661;145,8382035;8247,9410570;11457,7516613;14450,4334911;2391,4894289;163,0427065;8006,1763621;8820,9713491;11535,5496758;664,7232766;158,7567394;7705,7317721;7727,7229803;9545,4713996;1037,7528159;152,7626850;7092,3654599;10233,9895483;12621,2384973;2617,8574208;185,6328752;6901,5470814;10236,7743283;12611,1771243;1374,1393214;219,5079895;219,4437613;219,4470480;219,4470480;219,4470480;219,4470480;219,4470480;219,4470480;219,4470480;219,4470480;
V;0,0000000;94524355,4488889;88926475,5566667;220870192,0988888;412200,2622222;4403,2622222;89982878,3555556;83717729,8455556;129142924,5566667;479993,6000000;7658,5288889;92383357,5333333;89681845,8988889;100180843,9955556;73661,1155556;11632,4322222;93449281,4000000;75723598,4222222;115151876,1655555;1400707,6322222;16432,9733333;51017962,4455556;108425037,9155556;131127921,3288889;184148,4888889;20559,8222222;65760913,9566667;126904070,6933333;201854527,1433334;5528580,9655556;25696,8266667;61962231,2766667;75215884,3566667;128633276,1122222;427128,4666667;24363,5788889;57399025,4055556;57727112,3788889;88078823,4322222;1041033,2100000;22558,5566667;48624926,2222222;101243390,6722222;153985805,8322223;6624738,2266667;33310,9122222;46043640,3788889;101298497,0266667;153740395,5122223;1825316,9122222;46577,6322222;46550,3788889;46551,7733333;46551,7733333;46551,7733333;46551,7733333;46551,7733333;46551,7733333;46551,7733333;46551,7733333;
Intervallo;[5,00000 , 5,00000];[13410,77359 , 19538,29308];[97054,24503 , 102997,55497];[28155,73959 , 37522,32707];[676,41419 , 1081,05248];[506,02256 , 547,84411];[16360,07957 , 22338,58709];[95818,12183 , 101584,74484];[27076,78595 , 34239,01405];[1053,67646 , 1490,32354];[998,15579 , 1053,31087];[10965,13641 , 17022,86359];[94273,78395 , 100242,28272];[32308,63531 , 38616,83136];[1616,93991 , 1787,99342];[1480,37925 , 1548,35408];[13792,71293 , 19885,28707];[93002,13751 , 98486,52916];[30086,79690 , 36849,93644];[2016,41153 , 2762,32180];[1928,00376 , 2008,79624];[12321,92784 , 16823,60549];[92609,82052 , 99172,44615];[29108,40241 , 36325,46426];[2512,43857 , 2782,89476];[2368,48185 , 2458,85148];[11726,45367 , 16837,34633];[87054,26321 , 94154,13679];[33344,14541 , 42298,45459];[2997,01534 , 4478,91799];[2817,28474 , 2918,31526];[11928,75924 , 16889,84076];[87999,91262 , 93465,88738];[34461,19251 , 41609,27416];[3511,04986 , 3922,95014];[3264,04599 , 3362,42068];[13738,37884 , 18513,28783];[87774,96534 , 92563,50133];[32237,17527 , 38152,09140];[3904,77471 , 4547,82529];[3697,76978 , 3792,43022];[11816,91714 , 16211,74953];[83566,38613 , 89907,94721];[35378,54862 , 43199,38471];[4515,11344 , 6137,28656];[4121,91900 , 4236,94767];[13065,27142 , 17341,86191];[81624,15666 , 87967,44334];[35201,46592 , 43016,06741];[5077,01929 , 5928,51404];[4544,95686 , 4680,97647];[4539,77676 , 4675,75657];[4539,60907 , 4675,59093];[4539,60907 , 4675,59093];[4539,60907 , 4675,59093];[4539,60907 , 4675,59093];[4539,60907 , 4675,59093];[4539,60907 , 4675,59093];[4539,60907 , 4675,59093];[4539,60907 , 4675,59093];
N6000-8.4E-4I0-C61-5-QS5T500W5P100-AN0RN0CN0-ECS50-COONNNN-5;5,0000000;16772,9666667;101293,1333333;33032,4333333;258,1000000;5,0000000;16324,5000000;99250,4333333;34982,1333333;407,9000000;5,0000000;15604,3333333;103528,5333333;32068,4333333;73,4666667;5,0000000;15053,7333333;101769,5333333;34140,1333333;467,2333333;5,1666667;15448,7333333;104162,8333333;30796,8666667;141,8666667;5,0000000;14782,1666667;101097,8333333;34526,2000000;396,1666667;5,0000000;18416,8000000;103363,2333333;29082,2666667;74,5000000;5,0000000;17557,7000000;101236,5666667;31698,2333333;158,4333333;5,0000000;17322,5666667;101879,2333333;31627,1666667;93,7000000;5,0000000;16452,3000000;103492,3000000;31236,6666667;57,3666667;5,0000000;15697,9000000;102601,9666667;31786,9333333;334,7666667;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
S;0,0000000;12778,0057709;9662,0363947;13830,7049953;893,3883717;0,0000000;10564,7949137;9578,3699163;14647,7061020;814,8231181;0,0000000;10654,9449013;8361,7953473;11444,6679338;131,8953957;0,0000000;9410,6640351;8764,1840100;13556,8434983;1690,5863640;0,9128709;10442,5716774;6786,6727975;12565,4662406;355,0731574;0,0000000;8801,5676624;8465,4137324;12315,0292183;1046,9222243;0,0000000;8977,2889019;8619,0023612;9261,7897129;139,5067048;0,0000000;9642,4458664;9062,5953719;12526,2614498;300,7964925;0,0000000;11466,8708737;7448,4165162;14374,5208594;122,0833943;0,0000000;11879,2178750;7210,2462398;11058,2032441;79,1425965;0,0000000;9156,7036207;9600,0756049;12731,1619345;1353,4868045;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
V;0,0000000;157834850,4322223;90243115,7155556;184912120,6455556;771538,0233333;0,0000000;107894395,1833333;88686997,9122222;207403450,9155555;641805,4900000;0,0000000;109743589,1555556;67588967,3822222;126614409,9788889;16816,5155556;0,0000000;85608577,6622222;74250557,3155555;177661738,7822223;2762812,8455556;0,8055556;105412393,1288889;44523630,0722222;152627910,4488889;121874,3822222;0,0000000;74885340,2055556;69274455,3388889;146604613,1600000;1059511,2722222;0,0000000;77905325,4933333;71810961,6455556;82921390,3955555;18813,3833333;0,0000000;89877536,8766667;79392947,0455556;151676985,0455555;87462,5788889;0,0000000;127106156,7122222;53629611,6455556;199739288,2722222;14407,5433333;0,0000000;136411956,7433333;50254729,1433333;118207730,3555556;6054,7655556;0,0000000;81050380,4900000;89089403,2322222;156679734,7288889;1770862,3122222;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;
Intervallo;[5,00000 , 5,00000];[12813,97767 , 20731,95567];[98299,56012 , 104286,70655];[28747,28823 , 37317,57844];[-18,69708 , 534,89708];[5,00000 , 5,00000];[13051,22657 , 19597,77343];[96282,78237 , 102218,08430];[30443,85809 , 39520,40858];[155,44466 , 660,35534];[5,00000 , 5,00000];[12303,12887 , 18905,53779];[100937,81172 , 106119,25495];[28522,55025 , 35614,31641];[32,60173 , 114,33161];[5,00000 , 5,00000];[12138,04241 , 17969,42425];[99054,14028 , 104484,92638];[29939,83829 , 38340,42837];[-56,55832 , 991,02499];[4,88383 , 5,44950];[12213,32813 , 18684,13854];[102060,12940 , 106265,53726];[26903,72845 , 34690,00488];[31,85492 , 251,87841];[5,00000 , 5,00000];[12055,19110 , 17509,14223];[98475,00780 , 103720,65887];[30710,65428 , 38341,74572];[71,80044 , 720,53290];[5,00000 , 5,00000];[15635,38100 , 21198,21900];[100692,82168 , 106033,64499];[26212,70124 , 31951,83209];[31,27686 , 117,72314];[5,00000 , 5,00000];[14570,19649 , 20545,20351];[98428,71730 , 104044,41603];[27817,24187 , 35579,22479];[65,23804 , 251,62863];[5,00000 , 5,00000];[13769,80449 , 20875,32885];[99571,50241 , 104186,96426];[27173,53196 , 36080,80137];[55,87510 , 131,52490];[5,00000 , 5,00000];[12771,78101 , 20132,81899];[101258,36099 , 105726,23901];[27810,52132 , 34662,81201];[32,84604 , 81,88729];[5,00000 , 5,00000];[12860,89323 , 18534,90677];[99627,59067 , 105576,34267];[27842,45789 , 35731,40878];[-84,58198 , 754,11531];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];[0,00000 , 0,00000];
N6000-8.4E-4I0-C61-5-QS5T500W5P100-AN20RN20CN0-ECS50-COONNNN-5;5,0000000;16474,5333333;100183,1000000;33087,9666667;884,3000000;528,3333333;19350,5000000;98909,0666667;30867,0000000;1276,3666667;1028,3666667;13996,6333333;97363,7666667;35652,9666667;1708,9000000;1518,2666667;16843,4000000;95901,4333333;33706,7666667;2402,6333333;1973,7000000;14578,0333333;96040,2333333;32907,9666667;2655,9666667;2420,4333333;14288,5333333;90749,3000000;38012,1666667;3753,0000000;2875,5333333;14417,0333333;90798,7000000;38217,3666667;3727,3666667;3321,8333333;16134,4000000;90253,2666667;35396,3333333;4239,2333333;3754,3333333;14023,4666667;86798,3333333;39453,8333333;5343,9333333;4190,0000000;15213,7000000;84872,6000000;39232,8666667;5517,3333333;4628,8333333;14162,8333333;81021,0666667;41680,5000000;6818,8000000;5063,8000000;5049,7333333;5049,6000000;5049,6000000;5049,6000000;
S;0,0000000;9888,5699665;9609,6520205;15176,9891987;659,0968821;67,2782864;9647,7169776;9329,1271792;11611,0464585;705,3935797;89,1633462;9776,2066492;9642,5506022;10218,4772045;279,0935265;110,1428331;9832,8128701;8864,6592392;10972,8053361;1223,5736660;130,4097389;7265,2365910;10596,2782200;11656,4608945;436,5689489;145,9484281;8249,4716559;11496,3011987;14473,7080421;2403,8998344;163,5413547;8007,2127205;8830,2244325;11531,0491268;666,0356459;158,5440401;7704,6331811;7718,5219817;9608,8261450;1041,1729686;152,7096260;7092,2695445;10241,5053424;12648,9306869;2625,6639217;185,9052410;6901,2640079;10239,2883360;12612,3487564;1377,4827700;219,3897623;6817,1826372;11778,5695752;13380,4795949;3532,4709472;243,4410500;245,5653482;245,5924013;245,5924013;245,5924013;
V;0,0000000;94524355,4488889;89267231,5566667;222662967,7655555;419928,4100000;4375,4888889;89975828,1166667;84131526,7955556;130322519,8666667;480994,0988889;7685,0988889;92388409,2322222;89879489,3788889;100936700,4988889;75296,7566667;11727,0622222;93461401,9733333;75962777,3122222;116389041,7122222;1447228,0988889;16439,8100000;51024207,2988889;108538408,3788889;131343977,8988889;184239,3655556;20590,9122222;65785323,1822222;127759443,2100000;202505283,6722223;5586109,9333333;25854,2488889;61978273,6988889;75373768,0766667;128532924,1655556;428816,6988889;24298,3388889;57382660,0400000;57589728,8622222;89251888,5555556;1047906,4455556;22542,8888889;48623611,0488889;101392150,6222222;154662265,9388889;6664307,3288889;33408,7333333;46039863,4100000;101348258,1066667;153768963,1155556;1834210,1555556;46527,4722222;44924846,4722222;134110211,1955556;173069326,3833333;12062405,9600000;57288,0933333;58292,2622222;58305,1066667;58305,1066667;58305,1066667;
Intervallo;[5,00000 , 5,00000];[13410,77359 , 19538,29308];[97205,75695 , 103160,44305];[28385,70449 , 37790,22885];[680,09307 , 1088,50693];[507,48861 , 549,17806];[16361,36335 , 22339,63665];[96018,63818 , 101799,49515];[27269,56813 , 34464,43187];[1057,81571 , 1494,91763];[1000,74133 , 1055,99200];[10967,68693 , 17025,57973];[94376,23071 , 100351,30263];[32486,99229 , 38818,94104];[1622,42890 , 1795,37110];[1484,14129 , 1552,39204];[13796,91539 , 19889,88461];[93154,91020 , 98647,95646];[30307,08002 , 37106,45331];[2023,53547 , 2781,73120];[1933,29536 , 2014,10464];[12327,05675 , 16829,00991];[92757,20548 , 99323,26119];[29296,46412 , 36519,46922];[2520,70521 , 2791,22812];[2375,21437 , 2465,65230];[11732,61278 , 16844,45388];[87187,41947 , 94311,18053];[33527,80096 , 42496,53238];[3008,20358 , 4497,79642];[2824,86358 , 2926,20309];[11936,17148 , 16897,89519];[88062,84575 , 93534,55425];[34644,72024 , 41790,01309];[3521,00991 , 3933,72342];[3272,71189 , 3370,95478];[13747,28588 , 18521,51412];[87861,84940 , 92644,68393];[32419,24617 , 38373,42050];[3916,64839 , 4561,81828];[3707,01956 , 3801,64711];[11826,08019 , 16220,85314];[83625,22419 , 89971,44248];[35534,83546 , 43372,83121];[4530,42810 , 6157,43857];[4132,40128 , 4247,59872];[13075,49246 , 17351,90754];[81700,17775 , 88045,02225];[35325,20291 , 43140,53042];[5090,55006 , 5944,11661];[4560,86016 , 4696,80651];[12050,67659 , 16274,99008];[77371,73138 , 84670,40195];[37534,84750 , 45826,15250];[5724,34020 , 7913,25980];[4988,37505 , 5139,22495];[4973,65022 , 5125,81645];[4973,50850 , 5125,69150];[4973,50850 , 5125,69150];[4973,50850 , 5125,69150];
